frame_id,ocPitch,drv_color,drv_position,drv_type,drv_trackingId,drv_enable,drv_multiple,drv_roadBoundaryType,drv_vcs_start,drv_vcs_end,drv_vcs_predicted_start,drv_vcs_predicted_end,drv_lineWidthModel_C0,drv_lineWidthModel_C1,drv_segment_num,drv_segment_start,drv_segment_end,drv_segment_C0,drv_segment_C1,drv_segment_C2,drv_segment_C3,rb_color,rb_position,rb_type,rb_trackingID,rb_enable,rb_multiple,rb_roadBoundaryType,rb_vcs_start,rb_vcs_end,rb_vcs_predicted_start,rb_vcs_predicted_end,rb_lineWidthModel_C0,rb_lineWidthModel_C1,rb_segment_num,rb_segment_start,rb_segment_end,rb_segment_C0,rb_segment_C1,rb_segment_C2,rb_segment_C3,drv_lines_num,rb_lines_num,num_of_merged_point,merge_pos_lon,num_of_branch_point,branch_pos_lon,confidence
13,-0.0418941,1,4,3,2,1,1,1,7.89109,49.4246,2.00236,47.0505,0.203856,0.00508071,1,2.00236,47.0505,-2.08843,-0.00448713,0.000206839,-1.14857e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
13,-0.0418941,1,5,3,3,1,1,1,12.3764,16.1173,6.01757,15.0432,0.355977,-0.0015671,1,6.01757,15.0432,-5.75772,0.00695769,-0.000648087,1.94844e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
13,-0.0418941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10001,1,0,6,7.68766,60.202,3.19442,59.9268,0,0,1,3.19442,59.9268,2.74286,-0.00833994,0.00024015,-2.77486e-09,3,1,0,-1,0,-1,0.05
14,-0.0420263,1,3,2,1,1,1,1,7.89635,95.1755,0,78.9414,0.201374,0.00283171,1,0,78.9414,1.40398,-0.00914978,0.000302618,3.90715e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.681835
14,-0.0420263,1,4,3,2,1,1,1,7.92904,49.3421,1.00131,48.0501,0.207391,0.00470101,1,1.00131,48.0501,-2.09165,-0.00490862,0.000212161,-9.99638e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
14,-0.0420263,1,5,3,3,1,1,1,12.3847,16.1175,5.01437,15.0422,0.34226,-0.00129836,1,5.01437,15.0422,-5.76338,0.00851161,-0.000844505,1.92475e-08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
14,-0.0420263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32767,32767,1,10001,1,0,6,7.72515,59.3402,2.36547,58.9299,0,0,1,2.36547,58.9299,2.73213,-0.00778893,0.000232987,-3.88891e-08,3,1,0,-1,0,-1,0.05
15,-0.0421492,1,3,2,1,1,1,1,7.86911,85.648,0,80.9482,0.200226,0.00280055,1,0,80.9482,1.40249,-0.00957548,0.000303413,1.96137e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.924735
15,-0.0421492,1,4,3,2,1,1,1,7.90169,49.613,0,48.0355,0.203282,0.0051751,1,0,48.0355,-2.09444,-0.00557547,0.00021556,-4.66004e-11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.676718
15,-0.0421492,1,5,3,3,1,1,1,12.4034,16.1275,4.00854,15.031,0.343936,-0.00140628,1,4.00854,15.031,-5.75581,0.00646869,-0.000864804,3.74829e-08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
