frame_id,tracking_id,BB_x1,BB_y1,BB_x2,BB_y2,long_dist,lat_dist,rel_long_vel,rel_lat_vel,abs_long_vel,abs_lat_vel,ttc,size_2d_width,size_2d_height,size_3d_width,size_3d_height,viewing_angle,azimuth_angle,left_angle,right_angle,side_angle,vcs_3d_bbox_x_1,vcs_3d_bbox_x_2,vcs_3d_bbox_x_3,vcs_3d_bbox_x_4,vcs_3d_bbox_x_5,vcs_3d_bbox_x_6,vcs_3d_bbox_x_7,vcs_3d_bbox_x_8,vcs_3d_bbox_y_1,vcs_3d_bbox_y_2,vcs_3d_bbox_y_3,vcs_3d_bbox_y_4,vcs_3d_bbox_y_5,vcs_3d_bbox_y_6,vcs_3d_bbox_y_7,vcs_3d_bbox_y_8,vcs_3d_bbox_z_1,vcs_3d_bbox_z_2,vcs_3d_bbox_z_3,vcs_3d_bbox_z_4,vcs_3d_bbox_z_5,vcs_3d_bbox_z_6,vcs_3d_bbox_z_7,vcs_3d_bbox_z_8,validity_dist,validity_size_2d,validity_size_3d,validity_rel_velacc,validity_abs_velacc,validity_ttc,de_state
6,5,7.36963,562.928,159.135,668.312,0,0,0,0,14.6846,1.25795,0,0,0,2,2.05,1.59129,-25.2384,-24.4373,-26.0286,-22.3751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
7,1,1103.79,601.272,1164.84,649.095,71.2139,-6.30105,0,0,15.649,-1.00498,0,2.29305,1.67322,1.85,1.52,1.43964,5.07439,4.35386,5.7935,6.1517,71.3456,71.0821,71.3456,71.0821,75.8493,75.5858,75.8493,75.5858,-5.38548,-7.21662,-5.38548,-7.21662,-6.03354,-7.86468,-6.03354,-7.86468,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
7,2,1200.46,588.023,1240.59,630.998,166.591,-22.2813,0,0,16.1181,-2.92479,0,1.95,3.65679,1.9,1.95,0.910928,7.65385,7.19793,8.10886,8.36669,166.8,166.381,166.8,166.381,171.828,171.41,171.828,171.41,-21.3546,-23.2079,-21.3546,-23.2079,-22.4904,-24.3437,-22.4904,-24.3437,1.95,1.95,0,0,1.95,1.95,0,0,1,1,1,0,0,0,4
7,3,1162.27,601.05,1199.35,627.357,105.605,-12.439,0,0,18.8279,-2.14786,0,2.10433,1.52,1.85,1.52,0.861348,6.73308,6.30206,7.1634,6.07606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
7,4,917.143,564.413,1097.53,728.507,19.483,-0.526675,0,0,16.0074,-0.32229,0,1.88151,1.66262,1.85,1.52,5.34117,1.49886,-1.1737,4.16747,0,19.5043,19.4617,19.5043,19.4617,24.0531,24.0105,24.0531,24.0105,0.398079,-1.45143,0.398079,-1.45143,0.293285,-1.55622,0.293285,-1.55622,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
7,5,0,562.313,140.621,668.506,0,0,0,0,14.3092,1.78707,0,0,0,2,2.05,1.23327,-25.5891,-24.9691,-26.2024,-22.8392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
8,1,1107.16,601.589,1167.06,647.985,70.8562,-6.37094,0,0,14.9372,-0.969121,0,2.24588,1.67431,1.85,1.52,1.41463,5.16138,4.45336,5.86799,6.21681,70.9878,70.7246,70.9878,70.7246,75.4916,75.2284,75.4916,75.2284,-5.45535,-7.28653,-5.45535,-7.28653,-6.10266,-7.93384,-6.10266,-7.93384,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
8,2,1202.76,587.488,1243.14,630.818,166.41,-22.4465,0,0,15.8037,-2.83852,0,1.95,3.63341,1.9,1.95,0.903118,7.71749,7.26549,8.1686,8.44093,166.624,166.197,166.624,166.197,171.647,171.221,171.647,171.221,-21.5207,-23.3722,-21.5207,-23.3722,-22.6774,-24.529,-22.6774,-24.529,1.95,1.95,0,0,1.95,1.95,0,0,1,1,1,0,0,0,4
8,3,1165.11,599.961,1201.68,626.773,106.04,-12.6202,0,0,19.7379,-2.22811,0,2.08503,1.52,1.85,1.52,0.846675,6.80861,6.38493,7.2316,6.15969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
8,4,918.85,564.779,1100.98,727.341,19.4167,-0.54252,0,0,15.9433,-0.302153,0,1.89891,1.66016,1.85,1.52,5.39273,1.57541,-1.12313,4.2696,0,19.4384,19.395,19.4384,19.395,23.9871,23.9437,23.9871,23.9437,0.382225,-1.46727,0.382225,-1.46727,0.275392,-1.5741,0.275392,-1.5741,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
